average_aoi,dropped_ratio
1.4174,0.1566
1.2319,0.2289
1.2447,0.247
1.2775,0.3614
1.2671,0.4277
1.4609,0.3554
1.2445,0.5482
1.3644,0.5361
1.3585,0.5482
0.8485,0.488
0.7028,0.4578
0.7062,0.4217
0.7017,0.4217
0.7249,0.5542
0.7283,0.4699
0.711,0.494
0.704,0.4759
0.7173,0.5361
0.696,0.4699
0.7769,0.1747
0.7906,0.3554
0.7682,0.3434
0.8125,0.3133
0.8182,0.2952
0.8146,0.3193
0.8325,0.3313
0.8294,0.3193
0.9081,0.3373
0.8136,0.3313
0.7109,0.0301
0.7089,0.1145
0.7176,0.0361
0.7224,0.0602
0.7211,0.0181
0.7028,0.0542
0.7152,0.0663
0.7154,0.0482
0.7452,0.1265
0.7225,0.1145
0.6718,0.0602
0.6533,0.0542
0.6641,0.0
0.6521,0.0904
0.6583,0.0723
0.6783,0.0602
0.6187,0.0542
0.6822,0.0422
0.6678,0.0783
0.7008,0.0361
0.709,0.0843
0.6863,0.0482
0.6795,0.0241
0.6724,0.0482
0.6768,0.0542
0.6471,0.0542
0.7068,0.1084
0.6938,0.0964
0.688,0.0361
0.6672,0.0904
0.6663,0.0361
0.6652,0.0241
0.6306,0.0181
0.6465,0.0241
0.6571,0.006
0.6492,0.0301
0.6565,0.0361
0.6326,0.0723
0.6619,0.0783
0.6296,0.0783
0.6773,0.0422
0.6866,0.0301
0.6764,0.0783
0.6753,0.006
0.6859,0.0361
0.6514,0.0602
0.6624,0.0241
0.6664,0.0422
0.6581,0.0361
0.6359,0.0422
0.6304,0.0301
0.6683,0.0482
0.6659,0.0843
0.6507,0.0422
0.6513,0.0301
0.6409,0.0301
0.6332,0.0602
0.6773,0.1084
0.68,0.0602
0.6682,0.0964
0.6497,0.0361
0.6561,0.012
0.6445,0.0542
0.6731,0.0542
0.6526,0.0422
0.6532,0.1024
0.6346,0.0602
0.6724,0.0361
0.6726,0.1145
0.6568,0.0301
0.6253,0.0301
