average_aoi,dropped_ratio
1.3384,0.3855
1.3156,0.3614
1.2507,0.3976
1.2133,0.4096
1.1755,0.494
1.2892,0.4217
1.3236,0.5241
1.3619,0.5964
1.4366,0.5181
0.7411,0.488
0.8281,0.4277
0.8188,0.3072
0.7996,0.3916
0.7866,0.3494
0.7575,0.3855
0.7713,0.3976
0.7763,0.4217
0.8518,0.2771
0.7635,0.4277
0.77,0.3675
0.7008,0.3735
0.7164,0.3494
0.6998,0.3193
0.726,0.3313
0.6956,0.3193
0.7045,0.3373
0.7491,0.3675
0.7721,0.2651
0.6886,0.4096
0.6996,0.3373
0.6761,0.2952
0.734,0.2952
0.6947,0.3012
0.6856,0.3072
0.6716,0.3012
0.7041,0.3614
0.6946,0.2952
0.712,0.3494
0.6733,0.2349
0.6694,0.2349
0.6715,0.3313
0.6757,0.3554
0.6475,0.2831
0.6368,0.3012
0.6129,0.3133
0.6533,0.3313
0.6628,0.2711
0.6346,0.2289
0.661,0.2892
0.6659,0.3494
0.6774,0.2651
0.6562,0.2771
0.6378,0.2289
0.6423,0.2711
0.6587,0.2771
0.634,0.3133
0.6518,0.3193
0.6464,0.3012
0.6272,0.2711
0.6228,0.2711
0.6432,0.3313
0.64,0.3072
0.6322,0.3253
0.6396,0.2831
0.6471,0.2892
0.6667,0.3012
0.6455,0.3012
0.6405,0.2711
0.6811,0.3072
0.6239,0.3253
0.6421,0.3373
0.6423,0.3193
0.6645,0.2892
0.679,0.247
0.6352,0.2229
0.6035,0.2289
0.6436,0.2952
0.6552,0.3012
0.6512,0.2651
0.6816,0.3373
0.6588,0.3494
0.6554,0.3373
0.6357,0.3193
0.6443,0.3554
0.6613,0.3253
0.6319,0.3012
0.6468,0.3434
0.6326,0.3373
0.6436,0.2711
0.6474,0.3373
0.6589,0.3434
0.6421,0.3253
0.6184,0.259
0.6713,0.3313
0.6634,0.2169
0.6259,0.2771
0.635,0.2952
0.6354,0.3253
0.6064,0.3072
0.6761,0.2831
