info_type,state,q_values,action,reward
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 6.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 6.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 6.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.0000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.4419873356819153, -0.360320508480072, -0.38982290029525757, -0.3569296598434448, -0.48054689168930054, -0.5080223679542542, -inf, -inf]",3,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 6.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 6.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 6.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.0000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.4419873356819153, -0.360320508480072, -0.38982290029525757, -0.3569296598434448, -0.48054689168930054, -0.5080223679542542, -inf, -inf]",3,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.0000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.2000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.470611035823822, -0.5059213042259216, -0.5069082379341125, -0.5356726050376892, -0.42107945680618286, -0.4784625172615051, -inf, -inf]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.0000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.2000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.470611035823822, -0.5059213042259216, -0.5069082379341125, -0.5356726050376892, -0.42107945680618286, -0.4784625172615051, -inf, -inf]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.0000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.2000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.470611035823822, -0.5059213042259216, -0.5069082379341125, -0.5356726050376892, -0.42107945680618286, -0.4784625172615051, -inf, -inf]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.2000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.5271379351615906, -0.5059296488761902, -0.5069165825843811, -0.5065025687217712, -0.5390492081642151, -0.4784713387489319, -inf, -inf]",5,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.2000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.0000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.2000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.5271403193473816, -0.4772718548774719, -0.5069193840026855, -0.5065049529075623, -0.5390515923500061, -0.5373504757881165, -inf, -inf]",1,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.2000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.0000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.2000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.5271403193473816, -0.4772718548774719, -0.5069193840026855, -0.5065049529075623, -0.5390515923500061, -0.5373504757881165, -inf, -inf]",1,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.2000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.0000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.2000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.5271403193473816, -0.4772718548774719, -0.5069193840026855, -0.5065049529075623, -0.5390515923500061, -0.5373504757881165, -inf, -inf]",1,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.2000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.0000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.2000000e+01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]","[-0.5271403193473816, -0.4772718548774719, -0.5069193840026855, -0.5065049529075623, -0.5390515923500061, -0.5373504757881165, -inf, -inf]",1,-0.5
