info_type,state,q_values,action,reward
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 5.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 4.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 5.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 6.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 4.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 7.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 5.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 6.0000000e+00]","[-0.2576967775821686, -0.2422332763671875, -0.2891809940338135, -0.29250505566596985, -0.25217875838279724, -0.318082332611084, -0.2527572512626648, -0.2970673739910126]",1,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 8.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.0000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 5.0000000e+00]","[-0.32483917474746704, -0.332529753446579, -0.3343398869037628, -0.3870670199394226, -0.32162654399871826, -0.3639308512210846, -0.3459329605102539, -0.2739199995994568]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 8.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.0000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 5.0000000e+00]","[-0.32483917474746704, -0.332529753446579, -0.3343398869037628, -0.3870670199394226, -0.32162654399871826, -0.3639308512210846, -0.3459329605102539, -0.2739199995994568]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 8.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.3468330502510071, -0.33254343271255493, -0.33435413241386414, -0.36114734411239624, -0.3444103002548218, -0.3639449179172516, -0.3229476809501648, -0.39733314514160156]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 8.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.3468330502510071, -0.33254343271255493, -0.33435413241386414, -0.36114734411239624, -0.3444103002548218, -0.3639449179172516, -0.3229476809501648, -0.39733314514160156]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 9.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 8.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.3468438684940338, -0.3325541913509369, -0.3343650996685028, -0.361158549785614, -0.36699700355529785, -0.3639565706253052, -0.3229594826698303, -0.39734596014022827]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 8.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.3468330502510071, -0.33254343271255493, -0.33435413241386414, -0.36114734411239624, -0.3444103002548218, -0.3639449179172516, -0.3229476809501648, -0.39733314514160156]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 8.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 9.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 8.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.324844092130661, -0.3325347900390625, -0.3343450725078583, -0.36113810539245605, -0.3444012701511383, -0.36393600702285767, -0.3229386508464813, -0.39732247591018677]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 8.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 7.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 7.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 8.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 8.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.0000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.32482606172561646, -0.31021860241889954, -0.3343265652656555, -0.36111974716186523, -0.3443824052810669, -0.34118807315826416, -0.3687182068824768, -0.3973008394241333]",1,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.0000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 9.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 8.0000000e+00 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.0000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 9.0000000e+00]","[-0.3689177632331848, -0.3546813726425171, -0.41083359718322754, -0.3611747920513153, -0.3216687738895416, -0.34124451875686646, -0.3687747120857239, -0.36634331941604614]",4,-0.5
