generation,operator,individual_id,avg_aoi,avg_dropped_ratio,fitness
0,i1,0,0.6087701727443906,0.09939759036144578,1.4794
0,i1,1,0.6274240384134825,0.08132530120481929,1.4642
0,i1,2,0.6351195229447919,0.09337349397590362,1.4275
0,i1,3,0.6400086080899638,0.08734939759036145,1.426
1,e1,0,0.6108247530983887,0.10843373493975904,-0.1084
1,e1,1,0.6687501487015353,0.10692771084337348,-0.1069
1,e1,2,0.730809978431122,0.18825301204819278,-0.1883
1,e1,3,0.6553581239463853,0.09186746987951808,1.3857
1,e2,0,0.7937295853349693,0.2876506024096386,-0.2877
1,e2,1,0.7937295853349693,0.2876506024096386,-1.0
1,e2,2,0.6882862735444701,0.125,-0.125
1,e2,3,0.6381445284434186,0.08283132530120482,1.4372
1,m1,0,0.6254817918844346,0.07981927710843373,1.4712
1,m1,1,0.6153503338853197,0.09487951807228916,1.4709
1,m1,2,0.6230038219577101,0.07228915662650602,1.4891
1,m1,3,0.6191638674381419,0.09337349397590361,1.4643
1,m2,0,0.6417016889368019,0.0963855421686747,1.4082
1,m2,1,0.5884834103597613,0.07981927710843373,1.5636
1,m2,2,0.6220696356088694,0.0753012048192771,1.4865
1,m2,3,0.6212322525073173,0.12801204819277107,-0.128
1,m3,0,0.6496761707751584,0.12048192771084337,-0.1205
1,m3,1,0.6933857549659511,0.11144578313253012,-0.1114
1,m3,2,0.7141092762691079,0.09487951807228914,1.2675
1,m3,3,0.6158754382823302,0.0858433734939759,1.4843
2,e1,0,0.7350039433572058,0.11144578313253012,-0.1114
2,e1,1,0.6493259230349697,0.09036144578313253,1.4009
2,e1,2,0.6348101560490655,0.11596385542168675,-0.116
2,e1,3,0.810122549768135,0.1566265060240964,-0.1566
2,e2,0,0.640959318315774,0.088855421686747,1.4215
2,e2,1,0.6465630735714076,0.09789156626506024,1.3952
2,e2,2,0.6459686226838414,0.09939759036144578,1.3942
2,e2,3,0.6459686226838414,0.09939759036144578,-1.0
2,m1,0,0.6124678669576987,0.07680722891566265,1.5073
2,m1,1,0.6168325839713305,0.10692771084337349,-0.1069
2,m1,2,0.6033166528784635,0.09337349397590362,1.5027
2,m1,3,0.6641976904350179,0.0783132530120482,1.3877
2,m2,0,0.6152124121200436,0.09337349397590361,1.4737
2,m2,1,0.6109051978010089,0.088855421686747,1.4915
2,m2,2,0.6092862304435244,0.11144578313253013,-0.1114
2,m2,3,0.6041580469015567,0.09939759036144578,1.4907
2,m3,0,0.7324380019186535,0.09186746987951806,1.2399
2,m3,1,0.69257873519934,0.10692771084337349,-0.1069
2,m3,2,0.6687344912588468,0.11295180722891565,-0.113
2,m3,3,0.7243373917460509,0.11596385542168675,-0.116
3,e1,0,0.6717141550388083,0.14608433734939757,-0.1461
3,e1,1,0.6793296168797083,0.10843373493975904,-0.1084
3,e1,2,0.7326995617884975,0.08283132530120482,1.2518
3,e1,3,0.6610066947711314,0.08433734939759036,1.3853
3,e2,0,0.7273214821324575,0.11596385542168675,-0.116
3,e2,1,0.7273214821324575,0.11596385542168675,-1.0
3,e2,2,0.6628616673097003,0.10240963855421686,-0.1024
3,e2,3,0.7487829425933974,0.10240963855421686,-0.1024
3,m1,0,0.6163056597606154,0.10542168674698796,-0.1054
3,m1,1,0.5953697254862066,0.07680722891566265,1.5506
3,m1,2,0.7955767465311637,0.10843373493975904,-0.1084
3,m1,3,0.619595716754966,0.10692771084337349,-0.1069
3,m2,0,0.6179013652213126,0.07228915662650603,1.5014
3,m2,1,0.6030757849499029,0.0963855421686747,1.4983
3,m2,2,0.6042618301436148,0.08734939759036145,1.5104
3,m2,3,0.5970823151030327,0.09186746987951808,1.521
3,m3,0,0.6560034933186865,0.09939759036144578,1.3729
3,m3,1,0.6483657578614267,0.08885542168674698,1.4053
3,m3,2,0.8574245904064703,0.08433734939759036,1.0679
3,m3,3,0.6458075213003323,0.09638554216867469,1.3992
4,e1,0,0.6216269273640547,0.11295180722891567,-0.113
4,e1,1,0.59436676249192,0.1144578313253012,-0.1145
4,e1,2,0.7848091432857975,0.125,-0.125
4,e1,3,0.6525774306377521,0.13704819277108432,-0.137
4,e2,0,0.7255455511614799,0.19728915662650603,-0.1973
4,e2,1,0.6174947677731413,0.09789156626506024,1.4609
4,e2,2,0.6246808500063072,0.10843373493975902,-0.1084
4,e2,3,0.6241621754917742,0.08283132530120482,1.4694
4,m1,0,0.6302696135011747,0.09337349397590361,1.4385
4,m1,1,0.6308896945615929,0.10391566265060243,-0.1039
4,m1,2,0.6104007567577112,0.08132530120481928,1.505
4,m1,3,0.6151616722800528,0.08734939759036145,1.4836
4,m2,0,0.6052811229433407,0.07981927710843373,1.5203
4,m2,1,0.604693773226471,0.07680722891566265,1.5267
4,m2,2,0.6016397775125992,0.08734939759036144,1.5169
4,m2,3,0.612929966754667,0.09789156626506024,1.4718
4,m3,0,0.704500536330073,0.09789156626506024,1.2805
4,m3,1,0.791220269765937,0.09487951807228916,1.144
4,m3,2,0.704419773587887,0.10843373493975902,-0.1084
4,m3,3,0.6550938629623168,0.10993975903614457,-0.1099
