generation,best_fitness,best_avg_aoi,best_dropped_ratio
0,1.4794,0.6087701727443906,0.09939759036144578
1,1.5636,0.5884834103597613,0.07981927710843373
2,1.5636,0.5884834103597613,0.07981927710843373
3,1.5636,0.5884834103597613,0.07981927710843373
4,1.5636,0.5884834103597613,0.07981927710843373
